SMILES tc
CCCCCC 5.002e+02
CCC(C)(C)C 4.847e+02
CC(C(C)C)C 5.001e+02
CCCC(C)C 4.942e+02
CCC(CC)C 4.946e+02
CCCCCCC 5.331e+02
CCCCC(C)C 5.342e+02
CCC[C@H](CC)C 5.332e+02
CCCC(C)(C)C 5.171e+02
CC(CC(C)C)C 5.261e+02
CCC(CC)(C)C 5.222e+02
CC(C(C)(C)C)C 5.313e+02
CCCCCCCC 5.650e+02
CCCCCC(C)C 5.572e+02
CCCC(CCC)C 5.591e+02
CCC(CC)(CC)C 5.616e+02
CCCC(CC)CC 5.627e+02
CCC(C(C)C)CC 5.636e+02
CCCCC(C)(C)C 5.481e+02
CC(CCC(C)C)C 5.572e+02
CCCC(CC)(C)C 5.522e+02
CC(CC(C)(C)C)C 5.554e+02
CCC(C(C)C)(C)C 5.700e+02
CC(C(C)C)C(C)C 5.703e+02
CC(C(C)(C)C)(C)C 5.572e+02
CCCCCCCCC 5.932e+02
CCCCCCC(C)C 5.894e+02
CCCCC(CC)CC 5.887e+02
CCCC(CCC)CC 5.862e+02
CCCCCC(C)(C)C 5.746e+02
CC(CCCC(C)C)C 5.840e+02
CCCC(CCC)(C)C 5.847e+02
CCC(CC(C)C)CC 5.847e+02
CCCC(CC)(CC)C 5.901e+02
CC(CCC(C)(C)C)C 5.661e+02
CCCC(C(C)C)(C)C 5.884e+02
CCC(CC(C)C)(C)C 5.865e+02
CCC(CC)(CC)CC 5.958e+02
CCC(C(C)(C)C)CC 5.916e+02
CCC(C(C)C)(CC)C 6.016e+02
CCC(C(C)C)C(C)C 5.964e+02
CCC(C(C)(C)C)(C)C 6.010e+02
CC(CC(C)(C)C)(C)C 5.860e+02
CC(C(C(C)C)(C)C)C 6.020e+02
CCCCC(CC)(C)C 5.811e+02
CCCCCCCCCC 6.149e+02
CCCCCCCC(C)C 6.126e+02
CCCCC(CCCC)C 6.094e+02
CCCCCC(CC)CC 6.096e+02
CCCCCCC(C)(C)C 6.004e+02
CC(CCCCC(C)C)C 6.112e+02
CCCCCC(CC)(C)C 6.092e+02
CCCCC(CCC)(C)C 6.056e+02
CCCC(CCC)CCC 6.098e+02
CCCC(C(C)C)CCC 6.106e+02
CCC(CCC(C)C)CC 6.131e+02
CCCCC(CC)(CC)C 6.094e+02
CCCC(CCC)(CC)C 6.123e+02
CC(CCCC(C)(C)C)C 6.008e+02
CCCCC(C(C)C)(C)C 6.157e+02
CCCC(CC(C)C)(C)C 6.120e+02
CC(CC(C)C)CC(C)C 6.016e+02
CCC(CCC(C)C)(C)C 6.105e+02
CCCC(C(C)C)C(C)C 6.199e+02
CCCC(CC)(CC)CC 6.212e+02
CCC(C(CC)CC)CC 6.169e+02
CCC(CC(C)(C)C)CC 6.035e+02
CCC(CC(C)C)(CC)C 6.201e+02
CCC(C(CC)(C)C)CC 6.177e+02
CCCC(C(C)(C)C)(C)C 6.196e+02
CCC(CC(C)(C)C)(C)C 6.187e+02
CC(CCC(C)(C)C)(C)C 5.925e+02
CC(CC(C(C)C)(C)C)C 6.207e+02
CCC(C(CC)(C)C)(C)C 6.355e+02
CC(C(C(C)C)C(C)C)C 6.327e+02
CCC(C(C)C)(CC)CC 6.373e+02
